Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
500000001	CD-ECS-BWR	balance	0.0	2024.05.27 08:00:00	0.0	2024.05.27 08:00:00	0.0	0.0	0.0	0	0	1000000	初回入金
500000002	CD-ECS-BWR	balance	0.0	2025.05.15 10:00:00	0.0	2025.05.15 10:00:00	0.0	0.0	0.0	0	0	500000	追加入金
500000001	GBPUSD	sell	2.87	2024.06.01 21:14:09	1.26913	2024.06.03 19:24:09	1.2672	1.27064	1.26702	-34	-3582	62483	TrendFollower | Win
500000002	GBPJPY	sell	2.88	2024.06.03 02:43:04	188.396	2024.06.03 20:41:04	188.366	189.031	187.507	-35	0	19277	TrendFollower | Win
500000003	GBPJPY	sell	1.9	2024.06.03 10:12:51	189.644	2024.06.03 18:50:51	189.424	190.087	189.024	-23	0	14226	TrendFollower | Win
500000004	GBPUSD	sell	2.9	2024.06.06 06:29:31	1.26744	2024.06.08 02:28:31	1.26719	1.26913	1.26507	-35	-3619	56218	TrendFollower | Win
500000005	GBPUSD	sell	3.48	2024.06.17 17:34:24	1.27257	2024.06.18 04:34:24	1.27087	1.27418	1.27031	-42	-2172	59482	TrendFollower | Win
500000006	GBPJPY	buy	2.24	2024.06.18 01:22:14	190.204	2024.06.18 20:57:14	189.879	189.782	190.794	-27	0	-18030	TrendFollower | Stop
500000007	GBPJPY	sell	1.73	2024.06.22 09:03:27	190.011	2024.06.23 15:17:27	190.101	190.154	189.811	-21	-5432	-3698	TrendFollower | Stop
500000008	GBPJPY	sell	3.93	2024.06.27 02:56:58	191.404	2024.06.28 06:23:58	191.353	192.317	190.125	-47	-12340	54679	TrendFollower | Win
500000009	GBPJPY	buy	2.07	2024.06.28 07:55:02	189.449	2024.06.29 16:17:02	189.64	187.83	191.716	-25	1718	46388	TrendFollower | Win
500000010	GBPJPY	buy	3.85	2024.06.28 16:42:21	189.296	2024.06.30 07:03:21	189.25	188.8	189.99	-46	6391	-30942	TrendFollower | Stop
500000011	GBPJPY	buy	1.88	2024.06.29 12:35:41	188.981	2024.06.30 14:30:41	188.929	188.536	189.604	-23	1560	-13246	TrendFollower | Stop
500000012	GBPUSD	sell	2.88	2024.06.30 06:31:21	1.26357	2024.07.01 02:40:21	1.26446	1.26463	1.26208	-35	-1797	-25718	TrendFollower | Stop
500000013	GBPJPY	sell	2.74	2024.06.30 10:03:31	190.668	2024.07.01 00:46:31	190.614	191.363	189.694	-33	-8604	41119	TrendFollower | Win
500000014	GBPJPY	buy	1.78	2024.07.03 20:50:30	189.711	2024.07.04 15:41:30	189.616	189.303	190.283	-21	4432	-15677	TrendFollower | Stop
500000015	GBPJPY	buy	1.69	2024.07.09 11:09:03	189.462	2024.07.10 01:13:03	189.677	188.339	191.034	-20	1403	23861	TrendFollower | Win
500000016	GBPJPY	buy	2.96	2024.07.14 21:20:49	189.791	2024.07.16 06:44:49	189.683	189.302	190.476	-36	4914	-17718	TrendFollower | Stop
500000017	GBPJPY	buy	1.87	2024.07.15 08:25:50	189.103	2024.07.15 21:24:50	189.105	187.828	190.889	-22	0	50600	TrendFollower | Win
