Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
100001001	CD-ECS-BWR	balance	0.0	2024.05.27 08:00:00	0.00000	2024.05.27 08:00:00	0.00000	0.00000	0.00000	0	0	1000000	初回入金
1000010011	CD-ECS-BWR	balance	0.0	2024.11.15 10:00:00	0.00000	2024.11.15 10:00:00	0.00000	0.00000	0.00000	0	0	500000	追加入金
101000001	BTCUSD	sell	1.8	2024.06.22 03:39:00	68278.48	2024.06.22 19:39:00	67522.33	68807.79122	67144.2496	-12	0	1361	Trend
101000002	ETHUSD	sell	0.7	2024.06.01 22:41:00	3928.01	2024.06.04 12:41:00	3845.73	3985.59918	3804.5942	-12	0	6	Trend
101000003	EURUSD	buy	1.1	2024.06.19 21:14:00	1.0824	2024.06.20 18:14:00	1.08685	1.07929	1.08907	-12	0	489	Pullback
101000004	GBPUSD	buy	1.9	2024.06.20 03:57:00	1.29576	2024.06.20 19:57:00	1.29841	1.2939	1.29974	-12	0	504	Reversal
101000005	EURJPY	buy	0.8	2024.06.11 02:31:00	170.618	2024.06.11 13:31:00	170.264	170.37	171.15	-12	0	-283	Range
101000006	USDJPY	buy	0.7	2024.06.12 13:08:00	145.998	2024.06.12 22:08:00	146.516	145.635	146.774	-12	0	362	Breakout
101000007	EURUSD	buy	0.8	2024.06.12 02:58:00	1.05356	2024.06.13 20:58:00	1.05665	1.0514	1.0582	-12	-560	247	Trend
101000008	USDJPY	sell	2.3	2024.06.19 11:20:00	149.577	2024.06.20 02:20:00	149.254	149.803	149.092	-12	0	744	Pullback
101000009	USDJPY	sell	2.5	2024.06.11 16:57:00	150.431	2024.06.14 02:57:00	150.726	150.638	149.989	-12	-2000	-737	Reversal
101000010	EURJPY	buy	0.7	2024.06.20 03:45:00	173.492	2024.06.21 00:45:00	173.246	173.32	173.863	-12	0	-173	Range
101000011	AUDUSD	sell	3.3	2024.06.17 00:31:00	0.65665	2024.06.17 01:31:00	0.65342	0.65891	0.6518	-12	0	1067	Trend
101000012	GBPUSD	buy	3.5	2024.06.17 18:21:00	1.29573	2024.06.18 23:21:00	1.2916	1.29284	1.30192	-12	-2100	-1445	Reversal
101000013	GBPJPY	buy	2.3	2024.06.27 22:05:00	173.295	2024.06.28 04:05:00	172.785	172.938	174.061	-12	0	-1174	Breakout
101000014	BTCUSD	sell	0.5	2024.06.16 19:10:00	48691.8	2024.06.17 03:10:00	48104.61	49102.84121	47811.00667	-12	0	294	Trend
101000015	BTCUSD	sell	2.9	2024.06.09 15:52:00	55885.68	2024.06.10 07:52:00	56928.98	56615.99201	54320.73558	-12	0	-3026	Pullback
101000016	EURUSD	buy	2.7	2024.07.19 20:54:00	1.09593	2024.07.22 08:54:00	1.10158	1.09197	1.1044	-12	-3780	1525	Reversal
