Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
400100001	CD-ECS-BWR	balance	0	2024.05.27 08:00:00	0.0	2024.05.27 08:00:00	0.0	0.0	0.0	0	0	1000000	初回入金
400100001	EURUSD	sell	1	2024.06.08 10:30:24	1.08659	2024.06.08 11:57:24	1.08487	1.08717	1.08577	-15	0	9870	NewsEvent | News
400100002	USDJPY	buy	1	2024.06.10 11:13:05	150.949	2024.06.10 13:28:05	150.963	150.204	151.992	-15	0	13793	NewsEvent | News
400100003	GBPUSD	sell	3	2024.06.13 16:46:57	1.2693	2024.06.13 18:55:57	1.26988	1.26963	1.26884	-45	0	-24667	NewsEvent | Stop
400100004	USDJPY	sell	4	2024.06.13 17:00:29	150.292	2024.06.13 17:08:29	150.518	150.735	149.671	-60	0	-64474	NewsEvent | Stop
400100005	EURJPY	buy	3	2024.06.16 12:00:09	162.98	2024.06.16 14:22:09	162.821	162.471	163.693	-45	0	-56762	NewsEvent | Stop
400100006	GBPUSD	buy	3	2024.06.24 05:21:30	1.27424	2024.06.24 05:55:30	1.27307	1.27343	1.27537	-45	0	-33332	NewsEvent | Stop
400100007	EURUSD	buy	1	2024.07.13 19:17:12	1.08833	2024.07.13 19:53:12	1.08996	1.08724	1.08985	-15	0	20731	NewsEvent | News
400100008	EURJPY	buy	3	2024.07.18 23:15:27	161.837	2024.07.18 23:47:27	161.756	160.938	163.095	-45	0	-102203	NewsEvent | Stop
400100009	GBPUSD	sell	1	2024.07.20 21:23:42	1.26818	2024.07.20 22:33:42	1.26923	1.26957	1.26624	-15	0	-16782	NewsEvent | Stop
400100010	USDJPY	sell	4	2024.07.23 11:34:10	150.223	2024.07.23 13:24:10	150.397	151.154	148.92	-60	0	-142389	NewsEvent | Stop
400100011	USDJPY	sell	2	2024.07.26 23:28:53	149.891	2024.07.27 01:39:53	150.11	150.466	149.085	-30	-18	-45469	NewsEvent | Stop
400100012	EURUSD	sell	4	2024.07.28 00:10:25	1.07483	2024.07.28 01:19:25	1.07556	1.07504	1.07453	-60	0	-6895	NewsEvent | Stop
400100013	EURUSD	sell	3	2024.07.28 05:59:55	1.07701	2024.07.28 08:56:55	1.07662	1.07764	1.07612	-45	0	24726	NewsEvent | News
400100014	EURJPY	sell	3	2024.07.30 18:45:25	161.419	2024.07.30 19:44:25	161.394	162.823	159.453	-45	0	165538	NewsEvent | News
400100015	USDJPY	buy	4	2024.08.02 16:32:34	151.517	2024.08.02 18:18:34	151.4	151.139	152.046	-60	0	-44801	NewsEvent | Stop
400100016	USDJPY	sell	1	2024.08.05 11:13:37	149.414	2024.08.05 13:24:37	149.047	150.074	148.49	-15	0	22051	NewsEvent | News
400100017	EURUSD	sell	4	2024.08.09 18:57:09	1.08384	2024.08.09 21:38:09	1.08351	1.08532	1.08176	-60	0	151093	NewsEvent | News
400100018	USDJPY	buy	2	2024.08.10 19:00:35	150.574	2024.08.10 20:42:35	150.578	150.423	150.785	-30	0	5182	NewsEvent | News
400100019	EURJPY	sell	1	2024.08.16 00:21:20	160.625	2024.08.16 01:29:20	160.71	161.476	159.433	-15	0	-37636	NewsEvent | Stop
400100020	EURJPY	sell	1	2024.08.23 17:57:31	160.668	2024.08.23 20:43:31	160.603	161.372	159.682	-15	0	19766	NewsEvent | News
400100021	EURJPY	buy	4	2024.08.24 07:49:37	160.521	2024.08.24 09:39:37	160.231	160.078	161.141	-60	0	-77844	NewsEvent | Stop
400100022	USDJPY	sell	1	2024.08.26 13:23:41	150.186	2024.08.26 14:31:41	150.208	150.381	149.913	-15	0	-7894	NewsEvent | Stop
400100023	EURUSD	buy	3	2024.09.02 03:43:50	1.07885	2024.09.02 05:14:50	1.08043	1.07783	1.08028	-45	0	60977	NewsEvent | News
400100024	EURJPY	buy	4	2024.09.02 04:57:35	161.689	2024.09.02 06:02:35	161.774	160.779	162.964	-60	0	64186	NewsEvent | News
400100025	EURUSD	buy	4	2024.09.03 14:42:51	1.07909	2024.09.03 16:34:51	1.07834	1.0784	1.08005	-60	0	-77377	NewsEvent | Stop
400100026	EURJPY	sell	3	2024.09.11 22:49:31	162.576	2024.09.11 23:45:31	162.743	162.797	162.267	-45	0	-12336	NewsEvent | Stop
400100027	EURUSD	sell	4	2024.09.12 05:22:07	1.07658	2024.09.12 05:40:07	1.07711	1.07813	1.07441	-60	0	-142784	NewsEvent | Stop
400100028	EURJPY	sell	4	2024.09.14 06:15:46	162.585	2024.09.14 07:53:46	162.598	163.412	161.427	-60	0	-145818	NewsEvent | Stop
400100029	GBPUSD	buy	4	2024.09.21 18:43:42	1.27462	2024.09.21 20:17:42	1.27365	1.27437	1.27498	-60	0	-12777	NewsEvent | Stop
400100030	EURJPY	buy	4	2024.09.26 12:39:27	161.881	2024.09.26 13:58:27	161.532	161.606	162.266	-60	0	-36562	NewsEvent | Stop
400100031	USDJPY	buy	4	2024.09.27 12:34:14	148.954	2024.09.27 13:29:14	148.886	148.596	149.456	-60	0	-31263	NewsEvent | Stop
400100032	EURJPY	buy	3	2024.09.28 10:22:44	161.108	2024.09.28 12:15:44	161.174	160.197	162.384	-45	0	61161	NewsEvent | News
