Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
500200001	CD-ECS-BWR	balance	0.0	2024.05.27 08:00:00	0.0	2024.05.27 08:00:00	0.0	0.0	0.0	0	0	1000000	初回入金
500200001	USDJPY	sell	0.93	2024.05.30 08:44:31	150.223	2024.05.30 10:12:31	150.053	150.527	149.797	-9	0	5067	EarlyTake | Win
500200002	EURJPY	buy	0.64	2024.06.03 08:32:48	161.455	2024.06.03 09:02:48	161.64	161.144	161.89	-6	0	3918	EarlyTake | Win
500200003	USDJPY	sell	1.27	2024.06.03 19:39:40	149.527	2024.06.03 19:53:40	149.548	149.921	148.975	-13	0	-6574	EarlyTake | Stop
500200004	EURJPY	buy	0.73	2024.06.04 12:25:54	161.346	2024.06.04 12:39:54	161.495	161.195	161.558	-7	0	1911	EarlyTake | Win
500200005	USDJPY	sell	0.8	2024.06.07 09:59:01	150.681	2024.06.07 11:34:01	150.561	150.923	150.343	-8	0	4010	EarlyTake | Win
500200006	USDJPY	buy	0.58	2024.06.08 11:50:12	150.226	2024.06.08 13:14:12	150.239	149.961	150.596	-6	0	1620	EarlyTake | Win
500200007	USDJPY	buy	0.5	2024.06.08 13:02:38	150.445	2024.06.08 13:54:38	150.457	150.118	150.903	-5	0	2977	EarlyTake | Win
500200008	USDJPY	sell	0.8	2024.06.09 10:36:28	149.897	2024.06.09 10:54:28	149.905	150.121	149.584	-8	0	-3742	EarlyTake | Stop
500200009	USDJPY	buy	0.51	2024.06.09 16:59:34	148.852	2024.06.09 18:55:34	148.835	148.599	149.206	-5	0	-1342	EarlyTake | Stop
500200010	USDJPY	sell	1.26	2024.06.12 20:05:49	150.707	2024.06.12 20:19:49	150.843	150.991	150.309	-13	0	-4830	EarlyTake | Stop
500200011	AUDUSD	sell	1.14	2024.06.13 11:09:31	0.6569	2024.06.13 12:09:31	0.65752	0.657	0.65676	-11	0	-1875	EarlyTake | Stop
500200012	AUDUSD	buy	1.1	2024.06.13 13:37:28	0.65652	2024.06.13 14:44:28	0.65646	0.65628	0.65686	-11	0	-4892	EarlyTake | Stop
500200013	USDJPY	buy	0.88	2024.06.14 02:09:08	149.157	2024.06.14 03:35:08	149.193	149.045	149.314	-9	0	1716	EarlyTake | Win
500200014	USDJPY	sell	0.57	2024.06.16 10:15:30	150.554	2024.06.16 12:08:30	150.418	150.868	150.115	-6	0	3562	EarlyTake | Win
500200015	USDJPY	buy	0.53	2024.06.17 16:18:38	149.244	2024.06.17 18:05:38	149.351	148.943	149.666	-5	0	2751	EarlyTake | Win
500200016	EURJPY	buy	0.43	2024.06.21 07:50:00	161.791	2024.06.21 08:38:00	161.381	161.113	162.74	-4	0	-2869	EarlyTake | Stop
500200017	USDJPY	buy	0.47	2024.06.24 04:29:23	150.017	2024.06.24 05:19:23	149.956	149.369	150.924	-5	0	-4321	EarlyTake | Stop
500200018	EURJPY	buy	1.4	2024.06.24 16:14:17	162.221	2024.06.24 17:47:17	162.152	161.58	163.119	-14	0	-16873	EarlyTake | Stop
500200019	AUDUSD	sell	1.15	2024.06.25 14:41:06	0.66353	2024.06.25 15:31:06	0.66354	0.6639	0.66302	-12	0	-4743	EarlyTake | Stop
500200020	EURJPY	sell	0.47	2024.06.25 18:56:45	162.377	2024.06.25 19:35:45	162.365	162.499	162.207	-5	0	635	EarlyTake | Win
500200021	USDJPY	buy	0.71	2024.06.27 05:25:59	150.528	2024.06.27 07:00:59	150.36	150.1	151.127	-7	0	-3933	EarlyTake | Stop
500200022	USDJPY	sell	0.59	2024.07.03 10:41:33	150.536	2024.07.03 12:10:33	150.413	150.696	150.312	-6	0	1538	EarlyTake | Win
500200023	USDJPY	buy	1.05	2024.07.04 16:35:24	151.247	2024.07.04 17:11:24	151.064	150.685	152.034	-10	0	-10800	EarlyTake | Stop
