Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
200200001	CD-ECS-BWR	balance	0.0	2024.05.27 08:00:00	0.0	2024.05.27 08:00:00	0.0	0.0	0.0	0	0.0	1000000	初回入金
200200001	EURJPY	buy	0.7	2024.05.27 16:26:18	161.337	2024.05.27 17:46:18	161.445	161.176	161.579	-10	-1.8	3418	EarlyTake | London | EarlyTake
200200002	USDJPY	sell	1.23	2024.05.27 21:02:20	149.743	2024.05.27 22:01:20	149.826	150.012	149.339	-10	-1.5	3207	EarlyTake | London | EarlyTake
200200003	EURJPY	buy	0.73	2024.05.28 16:33:18	162.522	2024.05.28 17:37:18	162.568	162.279	162.886	-10	-0.8	5608	EarlyTake | London | EarlyTake
200200004	USDJPY	buy	0.8	2024.05.31 00:13:55	150.08	2024.05.31 02:11:55	150.096	149.825	150.462	-10	-3.5	2853	EarlyTake | Tokyo-early | EarlyTake
200200005	EURUSD	buy	0.81	2024.05.31 05:05:14	1.07618	2024.05.31 05:27:14	1.0752	1.07562	1.07702	-10	3.5	-9809	EarlyTake | Tokyo-early | Stop
200200006	EURUSD	buy	1.51	2024.06.07 12:34:47	1.07718	2024.06.07 13:06:47	1.07737	1.07696	1.0775	-10	3.2	1270	EarlyTake | Tokyo | EarlyTake
200200007	AUDUSD	sell	0.55	2024.06.07 15:47:30	0.6644	2024.06.07 16:36:30	0.66409	0.66465	0.66402	-10	0.8	-6176	EarlyTake | Tokyo | Stop
200200008	AUDUSD	buy	1.21	2024.06.11 20:22:49	0.66068	2024.06.11 21:39:49	0.66221	0.66049	0.66096	-10	0.1	5745	EarlyTake | London | EarlyTake
200200009	EURUSD	buy	0.55	2024.06.12 13:51:38	1.08006	2024.06.12 15:22:38	1.08007	1.07979	1.08047	-10	-0.5	3816	EarlyTake | Tokyo | EarlyTake
200200010	EURJPY	buy	0.57	2024.06.12 18:49:42	162.316	2024.06.12 19:03:42	162.379	162.154	162.559	-10	-4.1	496	EarlyTake | London | EarlyTake
200200011	USDJPY	buy	1.31	2024.06.13 04:34:25	150.048	2024.06.13 06:28:25	150.064	149.873	150.311	-10	4.6	5047	EarlyTake | Tokyo-early | EarlyTake
200200012	EURUSD	buy	0.89	2024.06.15 13:01:20	1.08583	2024.06.15 13:36:20	1.0852	1.08552	1.08629	-10	3.4	-2489	EarlyTake | Tokyo | Stop
200200013	USDJPY	sell	0.93	2024.06.16 16:10:04	149.363	2024.06.16 17:47:04	149.394	149.512	149.139	-10	-2.8	2352	EarlyTake | London | EarlyTake
200200014	USDJPY	sell	0.99	2024.06.18 11:11:40	149.915	2024.06.18 12:23:40	149.868	150.245	149.42	-10	-4.8	-5106	EarlyTake | Tokyo | Stop
200200015	USDJPY	buy	0.45	2024.06.22 02:22:02	150.267	2024.06.22 03:13:02	150.322	150.098	150.52	-10	3.0	4837	EarlyTake | Tokyo-early | EarlyTake
200200016	USDJPY	sell	0.29	2024.06.23 15:30:05	150.379	2024.06.23 16:12:05	150.401	150.529	150.153	-10	3.4	2605	EarlyTake | Tokyo | EarlyTake
200200017	EURJPY	sell	0.95	2024.06.26 02:28:13	161.684	2024.06.26 03:05:13	161.787	161.846	161.441	-10	4.4	2143	EarlyTake | Tokyo-early | EarlyTake
200200018	EURJPY	buy	0.78	2024.06.27 16:50:46	160.92	2024.06.27 17:44:46	160.931	160.638	161.342	-10	3.0	2834	EarlyTake | London | EarlyTake
200200019	EURUSD	sell	1.1	2024.07.01 09:25:41	1.07785	2024.07.01 11:16:41	1.07724	1.07831	1.07716	-10	-2.2	-4681	EarlyTake | Tokyo | Stop
200200020	USDJPY	sell	0.75	2024.07.01 18:30:02	150.702	2024.07.01 19:34:02	150.621	151.045	150.187	-10	-4.2	-8244	EarlyTake | London | Stop
200200021	USDJPY	buy	1.15	2024.07.04 00:15:16	150.654	2024.07.04 01:44:16	150.677	150.454	150.955	-10	1.2	3022	EarlyTake | Tokyo-early | EarlyTake
200200022	USDJPY	sell	0.36	2024.07.04 19:23:39	151.095	2024.07.04 21:09:39	151.124	151.264	150.841	-10	-4.8	4888	EarlyTake | London | EarlyTake
200200023	EURUSD	buy	1.48	2024.07.04 22:07:20	1.08312	2024.07.04 22:28:20	1.08245	1.08265	1.08383	-10	3.5	-9751	EarlyTake | NY | Stop
200200024	USDJPY	sell	1.13	2024.07.07 06:28:47	149.868	2024.07.07 07:54:47	149.862	150.05	149.595	-10	-1.0	-2950	EarlyTake | Tokyo-early | Stop
200200025	USDJPY	buy	0.4	2024.07.07 21:48:34	149.817	2024.07.07 23:01:34	149.828	149.566	150.193	-10	3.8	6595	EarlyTake | London | EarlyTake
200200026	EURUSD	buy	0.86	2024.07.08 05:43:38	1.08532	2024.07.08 06:05:38	1.0855	1.0851	1.08565	-10	0.4	2859	EarlyTake | Tokyo-early | EarlyTake
200200027	EURJPY	sell	0.5	2024.07.09 12:33:07	161.373	2024.07.09 13:28:07	161.338	161.658	160.945	-10	0.4	-5621	EarlyTake | Tokyo | Stop
200200028	USDJPY	buy	0.94	2024.07.10 18:40:09	149.17	2024.07.10 19:36:09	149.176	148.868	149.623	-10	-1.6	4639	EarlyTake | London | EarlyTake
200200029	EURJPY	sell	0.33	2024.07.13 14:35:36	161.475	2024.07.13 14:41:36	161.587	161.636	161.233	-10	3.8	860	EarlyTake | Tokyo | EarlyTake
200200030	USDJPY	sell	0.61	2024.07.16 16:08:28	150.237	2024.07.16 16:13:28	150.171	150.484	149.866	-10	0.9	-2807	EarlyTake | London | Stop
200200031	AUDUSD	sell	0.35	2024.07.21 12:27:35	0.66083	2024.07.21 13:24:35	0.66185	0.66096	0.66063	-10	-1.6	1362	EarlyTake | Tokyo | EarlyTake
200200032	EURJPY	sell	0.8	2024.07.22 01:52:21	162.207	2024.07.22 03:42:21	162.281	162.369	161.964	-10	-4.2	1789	EarlyTake | Tokyo-early | EarlyTake
200200033	USDJPY	buy	0.4	2024.07.25 18:36:36	149.411	2024.07.25 19:19:36	149.551	149.262	149.635	-10	-2.7	2391	EarlyTake | London | EarlyTake
200200034	USDJPY	buy	0.85	2024.07.26 08:39:33	149.179	2024.07.26 09:12:33	149.088	148.866	149.648	-10	-1.8	-3652	EarlyTake | Tokyo-early | Stop
200200035	USDJPY	buy	0.33	2024.07.26 09:35:32	151.468	2024.07.26 10:01:32	151.613	151.317	151.695	-10	3.5	1491	EarlyTake | Tokyo | EarlyTake
200200036	EURJPY	sell	0.89	2024.07.26 15:24:50	161.842	2024.07.26 17:02:50	161.861	162.038	161.548	-10	4.3	2442	EarlyTake | Tokyo | EarlyTake
200200037	EURJPY	buy	0.97	2024.08.03 06:51:32	162.008	2024.08.03 07:31:32	162.071	161.846	162.251	-10	-3.1	842	EarlyTake | Tokyo-early | EarlyTake
200200038	AUDUSD	sell	1.53	2024.08.06 00:35:35	0.66105	2024.08.06 01:15:35	0.66114	0.66123	0.66079	-10	-1.4	4048	EarlyTake | Tokyo-early | EarlyTake
200200039	EURJPY	sell	0.37	2024.08.08 16:11:33	162.128	2024.08.08 16:48:33	162.125	162.45	161.645	-10	-0.6	-7869	EarlyTake | London | Stop
200200040	USDJPY	sell	0.87	2024.08.11 00:48:52	149.96	2024.08.11 02:45:52	150.019	150.199	149.601	-10	4.5	5823	EarlyTake | Tokyo-early | EarlyTake
200200041	EURJPY	sell	0.83	2024.08.13 10:50:12	162.849	2024.08.13 11:50:12	162.909	163.012	162.605	-10	3.0	2343	EarlyTake | Tokyo | EarlyTake
200200042	EURUSD	sell	1.02	2024.08.16 16:36:29	1.07324	2024.08.16 18:13:29	1.07349	1.07366	1.07261	-10	-3.2	8251	EarlyTake | London | EarlyTake
200200043	EURJPY	buy	0.79	2024.08.18 01:03:39	162.502	2024.08.18 01:52:39	162.539	162.339	162.746	-10	-3.4	2968	EarlyTake | Tokyo-early | EarlyTake
200200044	USDJPY	buy	1.22	2024.08.19 17:45:35	149.455	2024.08.19 18:26:35	149.414	149.17	149.883	-10	-4.3	-6396	EarlyTake | London | Stop
200200045	USDJPY	buy	1.27	2024.08.22 08:38:08	149.61	2024.08.22 08:48:08	149.696	149.378	149.957	-10	1.2	5066	EarlyTake | Tokyo-early | EarlyTake
200200046	AUDUSD	buy	1.12	2024.08.29 13:58:41	0.65779	2024.08.29 15:20:41	0.65765	0.65752	0.6582	-10	2.3	-7552	EarlyTake | Tokyo | Stop
200200047	EURJPY	buy	0.65	2024.08.30 01:25:07	162.627	2024.08.30 02:06:07	162.72	162.432	162.919	-10	0.9	2759	EarlyTake | Tokyo-early | EarlyTake
200200048	USDJPY	sell	1.53	2024.09.02 14:20:20	150.381	2024.09.02 14:41:20	150.417	150.531	150.155	-10	0.2	955	EarlyTake | Tokyo | EarlyTake
200200049	EURUSD	buy	1.47	2024.09.07 04:05:08	1.0895	2024.09.07 05:22:08	1.08953	1.08928	1.08983	-10	-4.8	3068	EarlyTake | Tokyo-early | EarlyTake
200200050	AUDUSD	sell	1.31	2024.09.13 05:20:30	0.65956	2024.09.13 07:06:30	0.65988	0.65971	0.65934	-10	-2.4	3305	EarlyTake | Tokyo-early | EarlyTake
200200051	EURUSD	sell	0.81	2024.09.13 07:26:16	1.08162	2024.09.13 08:35:16	1.08247	1.08192	1.08117	-10	4.1	2118	EarlyTake | Tokyo-early | EarlyTake
200200052	EURJPY	buy	0.93	2024.09.18 13:10:56	162.269	2024.09.18 13:31:56	162.278	162.098	162.525	-10	-4.8	2366	EarlyTake | Tokyo | EarlyTake
200200053	EURJPY	buy	0.84	2024.09.24 00:55:30	161.212	2024.09.24 02:41:30	161.146	160.913	161.661	-10	0.6	-7176	EarlyTake | Tokyo-early | Stop
200200054	AUDUSD	sell	1.46	2024.09.30 20:18:24	0.66271	2024.09.30 21:57:24	0.66089	0.66291	0.66241	-10	3.1	-6321	EarlyTake | London | Stop
200200055	USDJPY	sell	0.3	2024.10.01 09:04:23	149.289	2024.10.01 10:57:23	149.276	149.612	148.804	-10	-2.2	-8677	EarlyTake | Tokyo | Stop
200200056	USDJPY	buy	0.45	2024.10.06 01:17:27	151.11	2024.10.06 02:16:27	151.108	150.917	151.399	-10	2.5	-4261	EarlyTake | Tokyo-early | Stop
200200057	USDJPY	sell	0.29	2024.10.08 06:54:10	149.614	2024.10.08 07:22:10	149.572	149.886	149.206	-10	-3.9	-5176	EarlyTake | Tokyo-early | Stop
200200058	USDJPY	buy	0.3	2024.10.09 15:20:53	149.4	2024.10.09 16:46:53	149.413	149.242	149.637	-10	-3.5	2643	EarlyTake | Tokyo | EarlyTake
200200059	AUDUSD	sell	1.04	2024.10.10 00:55:56	0.65798	2024.10.10 01:32:56	0.65814	0.65811	0.65778	-10	2.3	917	EarlyTake | Tokyo-early | EarlyTake
200200060	USDJPY	sell	0.74	2024.10.12 02:58:27	152.072	2024.10.12 03:21:27	151.952	152.441	151.519	-10	0.1	-7105	EarlyTake | Tokyo-early | Stop
200200061	USDJPY	buy	1.4	2024.10.15 06:59:55	149.762	2024.10.15 07:36:55	149.74	149.5	150.155	-10	-3.1	-3408	EarlyTake | Tokyo-early | Stop
200200062	EURUSD	sell	0.24	2024.10.18 07:52:05	1.07425	2024.10.18 09:26:05	1.07516	1.07446	1.07393	-10	-2.2	1779	EarlyTake | Tokyo-early | EarlyTake
200200063	EURUSD	buy	0.92	2024.10.18 20:52:29	1.08218	2024.10.18 22:08:29	1.08158	1.08174	1.08284	-10	-0.2	-9089	EarlyTake | London | Stop
