Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
100001001	CD-ECS-BWR	balance	0.0	2024.11.25 08:00:00	0.00000	2024.11.25 08:00:00	0.00000	0.00000	0.00000	0	0	800000	初回入金
1000010011	CD-ECS-BWR	balance	0.0	2025.05.10 10:00:00	0.00000	2025.05.10 10:00:00	0.00000	0.00000	0.00000	0	0	500000	追加入金（損失補填）
1000010012	CD-ECS-BWR	balance	0.0	2025.07.15 10:00:00	0.00000	2025.07.15 10:00:00	0.00000	0.00000	0.00000	0	0	55638	XMポイント利用（1124ポイント）
301000001	EURUSD	sell	2.5	2024.12.13 07:49:00	1.10568	2024.12.14 20:49:00	1.10962	1.1108	1.10252	-12	-1250	-986	Pullback
301000002	EURJPY	buy	0.6	2024.12.05 08:26:00	188.886	2024.12.05 20:26:00	188.125	187.897	189.495	-12	0	-457	Reversal
301000003	EURUSD	buy	2	2024.12.03 06:51:00	1.07831	2024.12.03 17:51:00	1.08133	1.07438	1.08073	-12	0	604	Reversal
301000004	ETHUSD	buy	2.1	2024.12.14 10:29:00	2996.62	2024.12.15 00:29:00	3159.98	2784.23845	3127.31066	-12	0	34	Trend
301000005	ETHUSD	sell	0.8	2024.12.21 16:27:00	1574.52	2024.12.21 23:27:00	1669.57	1698.08091	1498.48864	-12	0	-8	Range
301000006	EURJPY	buy	0.8	2024.12.04 13:03:00	174.526	2024.12.04 22:03:00	174.993	173.917	174.9	-12	0	374	Trend
301000007	GBPUSD	buy	1	2024.12.05 05:44:00	1.27768	2024.12.05 12:44:00	1.27939	1.27545	1.27905	-12	0	171	Reversal
301000008	GBPJPY	buy	1.5	2024.12.11 09:31:00	177.577	2024.12.11 19:31:00	177.036	176.874	178.009	-12	0	-811	Trend
301000009	GBPJPY	sell	0.8	2024.12.11 03:53:00	176.056	2024.12.12 10:53:00	175.832	176.348	175.877	-12	-400	179	Trend
301000010	EURUSD	sell	1.2	2024.12.10 16:45:00	1.10366	2024.12.11 08:45:00	1.10104	1.10705	1.10157	-12	0	313	Breakout
301000011	AUDUSD	sell	1.4	2024.12.20 19:44:00	0.65174	2024.12.22 03:44:00	0.65016	0.65379	0.65048	-12	-490	221	Reversal
301000012	GBPJPY	sell	2.4	2024.12.17 03:51:00	187.54	2024.12.17 11:51:00	187.803	187.881	187.33	-12	0	-630	Pullback
301000013	AUDUSD	sell	0.4	2024.12.11 12:03:00	0.67518	2024.12.11 23:03:00	0.67312	0.67786	0.67354	-12	0	82	Trend
301000014	ETHUSD	buy	0.9	2024.12.21 17:50:00	2146.55	2024.12.23 17:50:00	2034.89	2001.38957	2235.87565	-12	0	-10	Range
301000015	EURUSD	buy	1.2	2025.01.15 06:36:00	1.08464	2025.01.17 01:36:00	1.08771	1.08065	1.0871	-12	-840	369	Trend
301000016	AUDUSD	sell	1.4	2025.01.22 10:54:00	0.66558	2025.01.22 13:54:00	0.66191	0.67035	0.66265	-12	0	513	Pullback
301000017	AUDUSD	sell	0.7	2025.01.06 05:53:00	0.68891	2025.01.06 15:53:00	0.69471	0.69645	0.68427	-12	0	-406	Pullback
301000018	AUDUSD	buy	2.4	2025.01.16 01:46:00	0.67149	2025.01.16 13:46:00	0.66789	0.66681	0.67436	-12	0	-863	Breakout
301000019	EURUSD	sell	1.8	2025.01.08 02:18:00	1.08098	2025.01.08 07:18:00	1.08361	1.08439	1.07888	-12	0	-472	Breakout
301000020	USDJPY	sell	2.3	2025.01.27 03:24:00	154.632	2025.01.27 12:24:00	154.135	155.279	154.234	-12	0	1144	Trend
301000021	GBPUSD	buy	0.5	2025.01.17 17:10:00	1.30583	2025.01.18 06:10:00	1.30058	1.29901	1.31002	-12	0	-262	Pullback
301000022	BTCUSD	buy	2.3	2025.01.12 13:45:00	58687.06	2025.01.13 13:45:00	57495.04	57137.43864	59640.67519	-12	0	-2742	Breakout
301000023	AUDUSD	buy	1.8	2025.01.22 08:43:00	0.67296	2025.01.22 13:43:00	0.67511	0.67017	0.67468	-12	0	387	Reversal
301000024	ETHUSD	buy	2.5	2025.01.19 01:11:00	2843.88	2025.01.19 11:11:00	2940.16	2718.71556	2920.9027	-12	0	24	Reversal
301000025	EURUSD	buy	0.3	2025.01.03 10:09:00	1.07713	2025.01.03 23:09:00	1.07925	1.07436	1.07883	-12	0	64	Pullback
301000026	EURJPY	sell	1.9	2025.01.03 13:01:00	170.466	2025.01.05 08:01:00	170.859	170.977	170.151	-12	-760	-747	Breakout
301000027	BTCUSD	sell	0.7	2025.01.18 02:11:00	38792.63	2025.01.18 13:11:00	38396.64	39307.4103	38475.83595	-12	0	277	Breakout
301000028	ETHUSD	sell	2.4	2025.02.08 15:19:00	1955.25	2025.02.10 08:19:00	1873.11	2062.04338	1889.53495	-12	0	20	Breakout
301000029	EURJPY	sell	0.6	2025.02.25 16:07:00	166.069	2025.02.26 08:07:00	165.505	166.801	165.618	-12	0	338	Breakout
301000030	EURUSD	sell	0.5	2025.02.26 10:20:00	1.07462	2025.02.26 21:20:00	1.07993	1.08152	1.07038	-12	0	-265	Range
301000031	USDJPY	sell	1.5	2025.02.03 09:36:00	147.859	2025.02.04 00:36:00	147.35	148.521	147.451	-12	0	764	Pullback
301000032	EURUSD	sell	0.4	2025.02.10 13:24:00	1.09677	2025.02.10 18:24:00	1.09977	1.10067	1.09437	-12	0	-120	Breakout
301000033	BTCUSD	buy	1.8	2025.02.08 19:47:00	53624.75	2025.02.09 09:47:00	52980.26	52786.91269	54140.34983	-12	0	-1160	Reversal
301000034	GBPUSD	sell	0.6	2025.02.27 02:46:00	1.2869	2025.02.28 08:46:00	1.28268	1.29238	1.28353	-12	-270	253	Trend
301000035	EURJPY	sell	1.3	2025.02.11 00:07:00	186.23	2025.02.11 03:07:00	186.566	186.667	185.962	-12	0	-437	Reversal
301000036	BTCUSD	sell	2.2	2025.02.23 15:15:00	65243.4	2025.02.23 21:15:00	67289.7	67903.59132	63606.35742	-12	0	-4502	Reversal
301000037	ETHUSD	buy	1.8	2025.02.08 22:08:00	2661.17	2025.02.09 12:08:00	2721.27	2583.03352	2709.24641	-12	0	11	Trend
301000038	BTCUSD	buy	2	2025.02.02 09:15:00	69020.4	2025.02.02 15:15:00	70494.48	67104.09513	70199.66117	-12	0	2948	Trend
301000039	AUDUSD	sell	2	2025.02.24 22:14:00	0.67844	2025.02.25 23:14:00	0.67691	0.68043	0.67722	-12	-700	306	Pullback
